mode,repeat,gpu_us
barrier,4,0.72499999078
barrier,4,0.692749978043
barrier,4,0.69249997614
barrier,4,0.700749980751
barrier,4,0.684999977238
barrier,4,0.707999977749
barrier,4,0.684000027832
barrier,4,0.700499978848
barrier,4,0.686249986757
barrier,4,0.699250027537
barrier,4,0.700749980751
barrier,4,0.692999979947
barrier,4,0.701499986462
barrier,4,0.701499986462
barrier,4,0.701249984559
barrier,4,0.694249989465
barrier,4,0.685749982949
barrier,4,0.69875002373
barrier,4,0.69249997614
barrier,4,0.701249984559
barrier,4,0.694749993272
barrier,4,0.694249989465
barrier,4,0.691500026733
barrier,4,0.701499986462
barrier,4,0.685749982949
barrier,8,0.816999992821
barrier,8,0.804750015959
barrier,8,0.775000022259
barrier,8,0.799749977887
barrier,8,0.778249988798
barrier,8,0.795750005636
barrier,8,0.775750027969
barrier,8,0.801999995019
barrier,8,0.777999986894
barrier,8,0.783999974374
barrier,8,0.784499978181
barrier,8,0.777499983087
barrier,8,0.785749987699
barrier,8,0.785999989603
barrier,8,0.795250001829
barrier,8,0.784249976277
barrier,8,0.799249974079
barrier,8,0.784749980085
barrier,8,0.776749977376
barrier,8,0.78649999341
barrier,8,0.777749984991
barrier,8,0.783250026871
barrier,8,0.777499983087
barrier,8,0.800749985501
barrier,8,0.793749990407
barrier,16,0.962499994785
barrier,16,0.950250017922
barrier,16,0.947499996983
barrier,16,0.956000003498
barrier,16,0.950500019826
barrier,16,0.945499981754
barrier,16,0.942750019021
barrier,16,0.934500014409
barrier,16,0.937749980949
barrier,16,0.936499971431
barrier,16,0.944999977946
barrier,16,0.951749971136
barrier,16,0.946499989368
barrier,16,0.937749980949
barrier,16,0.950250017922
barrier,16,0.958500022534
barrier,16,0.943750026636
barrier,16,0.938249984756
barrier,16,0.936749973334
barrier,16,0.944999977946
barrier,16,0.938249984756
barrier,16,0.944749976043
barrier,16,0.92850002693
barrier,16,0.950250017922
barrier,16,0.93849998666
load,0,0.611750001553
load,0,0.586999987718
load,0,0.580249994528
load,0,0.59524999233
load,0,0.589000002947
load,0,0.589000002947
load,0,0.587749993429
load,0,0.605500012171
load,0,0.632499984931
load,0,0.581750005949
load,0,0.579999992624
load,0,0.581750005949
load,0,0.585999980103
load,0,0.589500006754
load,0,0.589500006754
load,0,0.587499991525
